date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2020-Jan-01 00:00,,m,277.25877,-23.17994,-1.838,5.408,306.455424,-2.327392,6.20891889581492,3.3387,/L
2020-Jan-02 00:00,,m,277.50914,-23.16972,-1.839,5.408,96.768196,-2.320723,6.20748787275115,4.1275,/L
2020-Jan-03 00:00,,m,277.75934,-23.15911,-1.840,5.408,247.082159,-2.314024,6.20584125535766,4.9164,/L
2020-Jan-04 00:00,,m,278.00939,-23.14810,-1.840,5.408,37.397320,-2.307295,6.20397941252937,5.7055,/L
2020-Jan-05 00:00,,m,278.25923,-23.13669,-1.841,5.408,187.713711,-2.300537,6.20190255343438,6.4946,/L
2020-Jan-06 00:00,,m,278.50887,-23.12490,-1.842,5.408,338.031347,-2.293751,6.19961078641545,7.2838,/L
2020-Jan-07 00:00,,m,278.75827,-23.11272,-1.843,5.408,128.350249,-2.286936,6.19710535055424,8.0732,/L
2020-Jan-08 00:00,,m,279.00741,-23.10015,-1.843,5.408,278.670442,-2.280093,6.19438561026877,8.8627,/L
2020-Jan-09 00:00,,m,279.25626,-23.08721,-1.844,5.408,68.991938,-2.273223,6.19145364635150,9.6523,/L
2020-Jan-10 00:00,,m,279.50479,-23.07390,-1.845,5.408,219.314758,-2.266324,6.18830989810171,10.4421,/L
2020-Jan-11 00:00,,m,279.75299,-23.06022,-1.846,5.408,9.638903,-2.259397,6.18495524688267,11.2321,/L
2020-Jan-12 00:00,,m,280.00081,-23.04618,-1.847,5.408,159.964402,-2.252443,6.18138960023483,12.0224,/L
2020-Jan-13 00:00,,,280.24823,-23.03178,-1.849,5.408,310.291265,-2.245461,6.17761322555449,12.8128,/L
2020-Jan-14 00:00,,,280.49523,-23.01702,-1.850,5.409,100.619514,-2.238451,6.17362700187937,13.6036,/L
2020-Jan-15 00:00,,,280.74179,-23.00190,-1.851,5.409,250.949173,-2.231414,6.16943005484544,14.3947,/L
