date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2020-Jan-01 00:00,,m,293.11467,-21.68433,0.591,6.202,87.281985,28.187725,10.9964202778605,11.3873,/T
2020-Jan-02 00:00,,m,293.23932,-21.66721,0.587,6.198,177.938020,28.153232,10.9995201220731,10.4850,/T
2020-Jan-03 00:00,,m,293.36416,-21.64995,0.583,6.193,268.595095,28.118552,11.0023614378338,9.5829,/T
2020-Jan-04 00:00,,m,293.48919,-21.63257,0.578,6.188,359.253232,28.083690,11.0049439262375,8.6811,/T
2020-Jan-05 00:00,,m,293.61439,-21.61505,0.572,6.181,89.912453,28.048652,11.0072673956935,7.7796,/T
2020-Jan-06 00:00,,m,293.73973,-21.59741,0.564,6.173,180.572779,28.013444,11.0093316404074,6.8783,/T
2020-Jan-07 00:00,,m,293.86521,-21.57964,0.556,6.165,271.234230,27.978070,11.0111365880931,5.9772,/T
2020-Jan-08 00:00,,m,293.99081,-21.56176,0.545,6.154,1.896825,27.942538,11.0126821713683,5.0764,/T
2020-Jan-09 00:00,,m,294.11650,-21.54376,0.533,6.142,92.560583,27.906852,11.0139682721221,4.1757,/T
2020-Jan-10 00:00,,m,294.24227,-21.52566,0.519,6.127,183.225524,27.871018,11.0149947440801,3.2753,/T
2020-Jan-11 00:00,,m,294.36809,-21.50745,0.501,6.109,273.891666,27.835044,11.0157614401600,2.3750,/T
2020-Jan-12 00:00,,m,294.49394,-21.48914,0.480,6.088,4.559029,27.798934,11.0162681608959,1.4750,/T
2020-Jan-13 00:00,,,294.61989,-21.47072,0.455,6.063,95.227630,27.762694,11.0165147240141,0.5757,/T
2020-Jan-14 00:00,,,294.74507,-21.45230,0.449,6.057,185.897491,27.726331,11.0165008296725,0.3283,/L
2020-Jan-15 00:00,,,294.87110,-21.43371,0.476,6.085,276.568631,27.689851,11.0162261854003,1.2265,/L
2020-Jan-16 00:00,,,294.99683,-21.41502,0.500,6.108,7.241072,27.653260,11.0156905756744,2.1262,/L
2020-Jan-17 00:00,,,295.12246,-21.39625,0.519,6.128,97.914833,27.616563,11.0148937823406,3.0261,/L
2020-Jan-18 00:00,,,295.24800,-21.37739,0.535,6.144,188.589935,27.579768,11.0138356636512,3.9260,/L
2020-Jan-19 00:00,,,295.37343,-21.35844,0.549,6.158,279.266399,27.542880,11.0125161406639,4.8260,/L
2020-Jan-20 00:00,,,295.49875,-21.33941,0.561,6.170,9.944247,27.505907,11.0109352443532,5.7260,/L
2020-Jan-21 00:00,,,295.62392,-21.32030,0.571,6.181,100.623497,27.468854,11.0090931770983,6.6261,/L
2020-Jan-22 00:00,,,295.74893,-21.30113,0.579,6.190,191.304171,27.431730,11.0069902501839,7.5262,/L
2020-Jan-23 00:00,,,295.87374,-21.28190,0.587,6.198,281.986286,27.394541,11.0046268056670,8.4262,/L
2020-Jan-24 00:00,,,295.99833,-21.26262,0.593,6.205,12.669863,27.357294,11.0020033625282,9.3264,/L
2020-Jan-25 00:00,,,296.12267,-21.24328,0.599,6.211,103.354919,27.319998,10.9991204898861,10.2265,/L
2020-Jan-26 00:00,,,296.24674,-21.22389,0.604,6.217,194.041471,27.282660,10.9959789021981,11.1266,/L
2020-Jan-27 00:00,,,296.37051,-21.20445,0.608,6.222,284.729537,27.245287,10.9925793802978,12.0267,/L
2020-Jan-28 00:00,,m,296.49396,-21.18497,0.612,6.227,15.419134,27.207889,10.9889227645743,12.9268,/L
2020-Jan-29 00:00,,m,296.61708,-21.16545,0.616,6.231,106.110280,27.170472,10.9850100454691,13.8269,/L
2020-Jan-30 00:00,,m,296.73985,-21.14589,0.619,6.235,196.802987,27.133045,10.9808423876908,14.7270,/L
2020-Jan-31 00:00,,m,296.86225,-21.12630,0.622,6.239,287.497273,27.095616,10.9764210142527,15.6270,/L
2020-Feb-01 00:00,,m,296.98426,-21.10667,0.625,6.243,18.193150,27.058191,10.9717472831180,16.5271,/L
2020-Feb-02 00:00,,m,297.10586,-21.08702,0.627,6.246,108.890631,27.020780,10.9668226232134,17.4272,/L
2020-Feb-03 00:00,,m,297.22705,-21.06735,0.629,6.249,199.589730,26.983389,10.9616485773891,18.3273,/L
2020-Feb-04 00:00,,m,297.34780,-21.04767,0.632,6.253,290.290456,26.946025,10.9562268369560,19.2274,/L
2020-Feb-05 00:00,,m,297.46809,-21.02797,0.634,6.256,20.992821,26.908697,10.9505590663049,20.1276,/L
2020-Feb-06 00:00,,m,297.58791,-21.00827,0.635,6.259,111.696833,26.871411,10.9446469757156,21.0278,/L
2020-Feb-07 00:00,,m,297.70722,-20.98858,0.637,6.262,202.402501,26.834176,10.9384923002754,21.9280,/L
2020-Feb-08 00:00,,m,297.82601,-20.96890,0.639,6.265,293.109834,26.796997,10.9320967445759,22.8284,/L
2020-Feb-09 00:00,,m,297.94425,-20.94923,0.640,6.268,23.818839,26.759884,10.9254619325686,23.7288,/L
2020-Feb-10 00:00,,m,298.06192,-20.92958,0.642,6.271,114.529525,26.722842,10.9185893676279,24.6294,/L
2020-Feb-11 00:00,,,298.17900,-20.90995,0.643,6.273,205.241901,26.685880,10.9114803648703,25.5302,/L
2020-Feb-12 00:00,,,298.29548,-20.89034,0.645,6.276,295.955977,26.649006,10.9041362608665,26.4312,/L
2020-Feb-13 00:00,,,298.41135,-20.87075,0.646,6.279,26.671765,26.612227,10.8965583097254,27.3323,/L
2020-Feb-14 00:00,A,,298.52660,-20.85119,0.647,6.282,117.389276,26.575552,10.8887477832700,28.2338,/L
2020-Feb-15 00:00,A,,298.64122,-20.83166,0.648,6.284,208.108523,26.538989,10.8807060287010,29.1355,/L
2020-Feb-16 00:00,A,,298.75519,-20.81216,0.649,6.287,298.829518,26.502547,10.8724345076083,30.0375,/L
2020-Feb-17 00:00,A,,298.86848,-20.79272,0.650,6.290,29.552273,26.466233,10.8639348727601,30.9399,/L
2020-Feb-18 00:00,A,,298.98108,-20.77332,0.651,6.292,120.276800,26.430057,10.8552089639146,31.8425,/L
2020-Feb-19 00:00,A,,299.09296,-20.75399,0.651,6.295,211.003109,26.394026,10.8462586947968,32.7454,/L
